off_tech_id,off_tech,d3fend_id,def_tech,phase,tactic,shared_artifacts,shared_artifact_names,trust,proxy_quality,band
_meta,provenance,,"source=02-projects/d3fend-wall/data/matrix_long.csv+wall_columns.csv; upstream=build_wall_leaf.py (git-less, deterministic re-run reproduces 5616-row matrix_long / 120-col wall_columns byte-identical); matrix_long_sha256=35500f5917cfe4f52a6217f0563b423fff11ebf1e9f5dbcfc4c7cd4f8d1acda7; wall_columns_sha256=bd5ba6ae956b31d7d635707226fe20a836f1b3d2351446b3d18d1e444cf395bf",gen_date=2026-06-21,"SCOPE=6 detection techniques {T1071,T1048,T1110,T1490,T1003.001,T1530} UNION neighbors sharing >=1 d3fend_id; T1530 has no covered cells so it is absent (honest-degrade not-in-corpus)",5578,n_zero_defense=27;n_in_scope_off_tech=411,0.25,artifact_cooccurrence,_meta
T1037.004,RC Scripts,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1037.005,Startup Items,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1037,Boot or Logon Initialization Scripts,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1114.003,Email Forwarding Rule,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1114,Email Collection,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1134.005,SID-History Injection,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1134,Access Token Manipulation,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1137.001,Office Template Macros,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1137.002,Office Test,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1137.004,Outlook Home Page,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1137.005,Outlook Rules,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1137,Office Application Startup,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1218.002,Control Panel,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
